服务区,架次序号,机型,货箱编号,重算总质量_kg,重算总体积_m3,重算往返能耗_kWh,重算累计作业时间_s,重算返航SOC,复核结果
S001,1,C,S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,76.0,0.159,2.9175821991564397,1560.169061638226,0.635302225105445,通过
S001,2,C,S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,78.0,0.23500000000000001,2.995769151326999,1626.169061638226,0.6255288560841251,通过
S002,1,C,S002-MED-01;S002-WAT-01;S002-WAT-02;S002-FOD-01,39.0,0.094,5.170922797973086,1975.8121604994858,0.35363465025336427,通过
S002,2,C,S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01,42.0,0.117,5.248649029892544,1975.8121604994858,0.343918871263432,通过
S003,1,C,S003-MED-01;S003-WAT-01;S003-WAT-02;S003-FOD-01,39.0,0.094,5.209160756087909,2304.091139953417,0.3488549054890113,通过
S003,2,C,S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01,42.0,0.117,5.288245493735836,2304.091139953417,0.3389693132830205,通过
S004,1,B,S004-MED-01;S004-WAT-01,17.0,0.039,2.5765217898096386,1921.6433836625176,0.35586955254759034,通过
S004,2,C,S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,42.0,0.117,5.518499659217955,2169.0564390824397,0.3101875425977556,通过
S005,1,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,59.0,0.156,4.222192387345577,1877.1904432543072,0.4722259515818029,通过
S006,1,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,59.0,0.156,2.597987762362441,1561.5538503101416,0.6752515297046948,通过
S007,1,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,45.0,0.129,3.4108941098668497,1907.5664063000509,0.5736382362666438,通过
S008,1,C,S008-MED-01;S008-WAT-01;S008-WAT-02,31.0,0.066,5.4634135373872645,2067.7009222039705,0.31707330782659193,通过
S008,2,B,S008-FOD-01;S008-HYG-01,14.0,0.063,2.589345341380426,1901.8311447788406,0.3526636646548935,通过
S009,1,B,S009-MED-01;S009-WAT-01;S009-FOD-01,25.0,0.067,2.0962334622162127,1558.4416307982196,0.47594163444594684,通过
S010,1,B,S010-MED-01;S010-WAT-01;S010-FOD-01,25.0,0.067,1.8231955389249852,1555.37950602052,0.5442011152687537,通过
S011,1,B,S011-MED-01;S011-WAT-01;S011-FOD-01,25.0,0.067,1.0739517329661894,1188.4204600339176,0.7315120667584527,通过
S012,1,B,S012-MED-01;S012-WAT-01;S012-FOD-01,25.0,0.067,2.7524137094266754,1922.7401292699428,0.31189657264333115,通过
S013,1,B,S013-MED-01;S013-WAT-01;S013-FOD-01,25.0,0.067,1.8247591062299287,1510.472262686102,0.5438102234425178,通过
S014,1,B,S014-MED-01;S014-WAT-01;S014-FOD-01,25.0,0.067,2.1403882509279963,1869.7563295093853,0.4649029372680009,通过
S015,1,B,S015-MED-01;S015-WAT-01;S015-FOD-01,25.0,0.067,2.307452507085184,1828.2765182305734,0.42313687322870397,通过
