服务区,架次序号,机型,货箱编号,物资类型,箱数,总质量_kg,总体积_m3,往返能耗_kWh,作业时间_s,返航SOC,相对允许能耗上限余量_kWh
S001,1,C,S001-WAT-06;S001-WAT-07;S001-WAT-08;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,饮用水;饮用水;饮用水;应急食品;应急食品;应急食品;生活卫生用品;生活卫生用品,8,78.0,0.235,2.995769151326999,1626.169061638226,0.6255288560841251,3.8042308486730008
S001,2,C,S001-MED-01;S001-MED-02;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04;S001-WAT-05,医疗物资;医疗物资;饮用水;饮用水;饮用水;饮用水;饮用水,7,76.0,0.15900000000000003,2.9175821991564397,1560.169061638226,0.635302225105445,3.88241780084356
S002,1,B,S002-MED-01;S002-WAT-01;S002-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,2.71342169050111,1816.6940757826892,0.3216445773747225,0.68657830949889
S002,2,C,S002-WAT-02;S002-WAT-03;S002-WAT-04;S002-FOD-02;S002-HYG-01,饮用水;饮用水;饮用水;应急食品;生活卫生用品,5,56.0,0.144,5.721223397116423,2041.8121604994858,0.2848470753604472,1.0787766028835772
S003,1,B,S003-MED-01;S003-WAT-01;S003-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,2.7799169100598005,2080.5230938922186,0.3050207724850499,0.6200830899401995
S003,2,C,S003-WAT-02;S003-WAT-03;S003-WAT-04;S003-FOD-02;S003-HYG-01,饮用水;饮用水;饮用水;应急食品;生活卫生用品,5,56.0,0.144,5.764963924725091,2370.091139953417,0.2793795094093636,1.0350360752749088
S004,1,C,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,医疗物资;饮用水;饮用水;饮用水;应急食品;生活卫生用品,6,59.0,0.156,6.152930546729256,2301.0564390824397,0.230883681658843,0.6470694532707437
S005,1,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,医疗物资;饮用水;饮用水;饮用水;应急食品;生活卫生用品,6,59.0,0.156,4.222192387345577,1877.1904432543072,0.4722259515818029,2.577807612654423
S006,1,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,医疗物资;饮用水;饮用水;饮用水;应急食品;生活卫生用品,6,59.0,0.156,2.597987762362441,1561.5538503101416,0.6752515297046948,4.202012237637559
S007,1,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,医疗物资;饮用水;饮用水;应急食品;生活卫生用品,5,45.0,0.129,3.4108941098668497,1907.5664063000509,0.5736382362666438,3.38910589013315
S008,1,C,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,医疗物资;饮用水;饮用水;应急食品;生活卫生用品,5,45.0,0.129,5.836010171645798,2199.7009222039705,0.27049872854427526,0.9639898283542019
S009,1,B,S009-MED-01;S009-WAT-01;S009-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,2.0962334622162127,1558.4416307982196,0.47594163444594684,1.3037665377837873
S010,1,B,S010-MED-01;S010-WAT-01;S010-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,1.8231955389249852,1555.37950602052,0.5442011152687537,1.5768044610750147
S011,1,B,S011-MED-01;S011-WAT-01;S011-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,1.0739517329661894,1188.4204600339176,0.7315120667584527,2.3260482670338103
S012,1,B,S012-MED-01;S012-WAT-01;S012-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,2.7524137094266754,1922.7401292699428,0.31189657264333115,0.6475862905733245
S013,1,B,S013-MED-01;S013-WAT-01;S013-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,1.8247591062299287,1510.472262686102,0.5438102234425178,1.5752408937700713
S014,1,B,S014-MED-01;S014-WAT-01;S014-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,2.1403882509279963,1869.7563295093853,0.4649029372680009,1.2596117490720036
S015,1,B,S015-MED-01;S015-WAT-01;S015-FOD-01,医疗物资;饮用水;应急食品,3,25.0,0.067,2.307452507085184,1828.2765182305734,0.42313687322870397,1.0925474929148158
